id_cp_interactions,partner_a,partner_b,source
INDRA-0,P47895,Q07011,INDRA
INDRA-1,P46952,Q07011,INDRA
INDRA-2,P48448,Q07011,INDRA
INDRA-3,P30838,Q07011,INDRA
INDRA-4,P43353,Q07011,INDRA
INDRA-5,P04040,Q07011,INDRA
INDRA-6,P00352,P07550,INDRA
INDRA-7,Q9H2A2,P07550,INDRA
INDRA-8,P47895,P07550,INDRA
INDRA-9,Q06278,P07550,INDRA
INDRA-10,Q3SY69,P07550,INDRA
INDRA-11,P30038,P07550,INDRA
INDRA-12,P48448,P07550,INDRA
INDRA-13,P30838,P07550,INDRA
INDRA-14,P30837,P07550,INDRA
INDRA-15,O75891,P07550,INDRA
INDRA-16,P49189,P07550,INDRA
INDRA-17,P51648,P07550,INDRA
INDRA-18,P05091,P07550,INDRA
INDRA-19,O94788,P07550,INDRA
INDRA-20,P49419,P07550,INDRA
INDRA-21,P05091,P00533,INDRA
INDRA-22,P00450,P00533,INDRA
INDRA-23,P05091,P13726,INDRA
INDRA-24,P00450,P13726,INDRA
INDRA-25,P05091,P25445,INDRA
INDRA-26,P00450,P25445,INDRA
INDRA-27,P05091,Q07954,INDRA
INDRA-28,P00450,Q07954,INDRA
INDRA-29,P05091,P34741,INDRA
INDRA-30,P00450,P34741,INDRA
INDRA-31,P05091,Q9NYK1,INDRA
INDRA-32,P00450,Q9NYK1,INDRA
INDRA-33,P05091,Q8NER1,INDRA
INDRA-34,P00450,Q8NER1,INDRA
INDRA-35,O95050,P35348,INDRA
INDRA-36,P40261,P35348,INDRA
INDRA-37,P11086,P35348,INDRA
INDRA-38,O95050,P35368,INDRA
INDRA-39,P40261,P35368,INDRA
INDRA-40,P11086,P35368,INDRA
INDRA-41,O95050,P08913,INDRA
INDRA-42,P40261,P08913,INDRA
INDRA-43,P11086,P08913,INDRA
INDRA-44,O95050,P18089,INDRA
INDRA-45,P40261,P18089,INDRA
INDRA-46,P11086,P18089,INDRA
INDRA-47,O95050,P18825,INDRA
INDRA-48,P40261,P18825,INDRA
INDRA-49,P11086,P18825,INDRA
INDRA-50,O95050,P07550,INDRA
INDRA-51,P40261,P07550,INDRA
INDRA-52,P11086,P07550,INDRA
INDRA-53,O95050,P10275,INDRA
INDRA-54,P40261,P10275,INDRA
INDRA-55,P11086,P10275,INDRA
INDRA-56,O95050,P21554,INDRA
INDRA-57,P40261,P21554,INDRA
INDRA-58,P11086,P21554,INDRA
INDRA-59,P09622,Q9NNX6,INDRA
INDRA-60,P09622,P16671,INDRA
INDRA-61,P09622,Q03431,INDRA
INDRA-62,P09172,P35348,INDRA
INDRA-63,P09172,P35368,INDRA
INDRA-64,P09172,P18089,INDRA
INDRA-65,P09172,P18825,INDRA
