id_cp_interaction,partner_a,partner_b,source
INDRA-0,ALDH1A3,TNFRSF9,INDRA
INDRA-1,HAAO,TNFRSF9,INDRA
INDRA-2,ALDH3B2,TNFRSF9,INDRA
INDRA-3,ALDH3A1,TNFRSF9,INDRA
INDRA-4,ALDH3B1,TNFRSF9,INDRA
INDRA-5,CAT,TNFRSF9,INDRA
INDRA-6,ALDH1A1,ADRB2,INDRA
INDRA-7,ALDH8A1,ADRB2,INDRA
INDRA-8,ALDH1A3,ADRB2,INDRA
INDRA-9,AOX1,ADRB2,INDRA
INDRA-10,ALDH1L2,ADRB2,INDRA
INDRA-11,ALDH4A1,ADRB2,INDRA
INDRA-12,ALDH3B2,ADRB2,INDRA
INDRA-13,ALDH3A1,ADRB2,INDRA
INDRA-14,ALDH1B1,ADRB2,INDRA
INDRA-15,ALDH1L1,ADRB2,INDRA
INDRA-16,ALDH9A1,ADRB2,INDRA
INDRA-17,ALDH3A2,ADRB2,INDRA
INDRA-18,ALDH2,ADRB2,INDRA
INDRA-19,ALDH1A2,ADRB2,INDRA
INDRA-20,ALDH7A1,ADRB2,INDRA
INDRA-21,ALDH2,EGFR,INDRA
INDRA-22,CP,EGFR,INDRA
INDRA-23,ALDH2,F3,INDRA
INDRA-24,CP,F3,INDRA
INDRA-25,ALDH2,FAS,INDRA
INDRA-26,CP,FAS,INDRA
INDRA-27,ALDH2,LRP1,INDRA
INDRA-28,CP,LRP1,INDRA
INDRA-29,ALDH2,SDC2,INDRA
INDRA-30,CP,SDC2,INDRA
INDRA-31,ALDH2,TLR7,INDRA
INDRA-32,CP,TLR7,INDRA
INDRA-33,ALDH2,TRPV1,INDRA
INDRA-34,CP,TRPV1,INDRA
INDRA-35,INMT,ADRA1A,INDRA
INDRA-36,NNMT,ADRA1A,INDRA
INDRA-37,PNMT,ADRA1A,INDRA
INDRA-38,INMT,ADRA1B,INDRA
INDRA-39,NNMT,ADRA1B,INDRA
INDRA-40,PNMT,ADRA1B,INDRA
INDRA-41,INMT,ADRA2A,INDRA
INDRA-42,NNMT,ADRA2A,INDRA
INDRA-43,PNMT,ADRA2A,INDRA
INDRA-44,INMT,ADRA2B,INDRA
INDRA-45,NNMT,ADRA2B,INDRA
INDRA-46,PNMT,ADRA2B,INDRA
INDRA-47,INMT,ADRA2C,INDRA
INDRA-48,NNMT,ADRA2C,INDRA
INDRA-49,PNMT,ADRA2C,INDRA
INDRA-50,INMT,ADRB2,INDRA
INDRA-51,NNMT,ADRB2,INDRA
INDRA-52,PNMT,ADRB2,INDRA
INDRA-53,INMT,AR,INDRA
INDRA-54,NNMT,AR,INDRA
INDRA-55,PNMT,AR,INDRA
INDRA-56,INMT,CNR1,INDRA
INDRA-57,NNMT,CNR1,INDRA
INDRA-58,PNMT,CNR1,INDRA
INDRA-59,DLD,CD209,INDRA
INDRA-60,DLD,CD36,INDRA
INDRA-61,DLD,PTH1R,INDRA
INDRA-62,DBH,ADRA1A,INDRA
INDRA-63,DBH,ADRA1B,INDRA
INDRA-64,DBH,ADRA2B,INDRA
INDRA-65,DBH,ADRA2C,INDRA
INDRA-66,DBH,ADRB1,INDRA
INDRA-67,DBH,ADRB2,INDRA
INDRA-68,DBH,ADRB3,INDRA
INDRA-69,DBH,AR,INDRA
INDRA-70,DBH,DRD2,INDRA
INDRA-71,DBH,EDNRB,INDRA
INDRA-72,PEMT,PHEX,INDRA
INDRA-73,TYR,EGFR,INDRA
INDRA-74,SDHA,EGFR,INDRA
INDRA-75,PYCR3,EGFR,INDRA
INDRA-76,DHODH,EGFR,INDRA
INDRA-77,PRODH,EGFR,INDRA
INDRA-78,CYP3A4,TRPV3,INDRA
