id_cp_interaction,partner_a,partner_b,source
INDRA-0,A2M,CFTR,INDRA
INDRA-1,AGRN,AQP4,INDRA
INDRA-2,AGRN,CACNA1A,INDRA
INDRA-3,AGT,AQP1,INDRA
INDRA-4,AGT,TRPV4,INDRA
INDRA-5,ALOX5AP,CLIC1,INDRA
INDRA-6,ANXA1,CFTR,INDRA
INDRA-7,ANXA1,TRPM7,INDRA
INDRA-8,APOE,AQP4,INDRA
INDRA-9,APOE,CHRNA4,INDRA
INDRA-10,APOE,VDAC1,INDRA
INDRA-11,APOE,VDAC3,INDRA
INDRA-12,APP,AQP1,INDRA
INDRA-13,APP,BSND,INDRA
INDRA-14,APP,CACNB1,INDRA
INDRA-15,APP,CACNG2,INDRA
INDRA-16,APP,CACNG3,INDRA
INDRA-17,APP,CLIC3,INDRA
INDRA-18,APP,GABRA4,INDRA
INDRA-19,APP,HCN1,INDRA
INDRA-20,APP,KCNJ10,INDRA
INDRA-21,APP,KCNK5,INDRA
INDRA-22,APP,KCNN3,INDRA
INDRA-23,APP,LRRC8D,INDRA
INDRA-24,APP,P2RX6,INDRA
INDRA-25,APP,TRPC6,INDRA
INDRA-26,APP,VDAC1,INDRA
INDRA-27,APP,VDAC2,INDRA
INDRA-28,ARF1,GRIA2,INDRA
INDRA-29,ARF1,PKD2,INDRA
INDRA-30,ARF1,VDAC1,INDRA
INDRA-31,ARF6,KCNK1,INDRA
INDRA-32,ARTN,TRPA1,INDRA
INDRA-33,BAG6,CLIC1,INDRA
INDRA-34,BDNF,RYR3,INDRA
INDRA-35,CALM1,CACNA1C,INDRA
INDRA-36,CALM1,CNGA2,INDRA
INDRA-37,CALM1,GRIN1,INDRA
INDRA-38,CALM1,ITPR1,INDRA
INDRA-39,CALM1,KCNB1,INDRA
INDRA-40,CALM1,KCNH1,INDRA
INDRA-41,CALM1,KCNN2,INDRA
INDRA-42,CALM1,KCNN3,INDRA
INDRA-43,CALM1,KCNN4,INDRA
INDRA-44,CALM1,KCNQ2,INDRA
INDRA-45,CALM1,KCNQ3,INDRA
INDRA-46,CALM1,KCNQ5,INDRA
INDRA-47,CALM1,MIP,INDRA
INDRA-48,CALM1,RYR1,INDRA
INDRA-49,CALM1,SCN4A,INDRA
INDRA-50,CALM1,SCN5A,INDRA
INDRA-51,CALM1,SCN8A,INDRA
INDRA-52,CALM1,TRPC3,INDRA
INDRA-53,CALM1,TRPV1,INDRA
INDRA-54,CALM1,TRPV4,INDRA
INDRA-55,CALM1,TRPV6,INDRA
INDRA-56,CALM2,CACNA1A,INDRA
INDRA-57,CALM2,KCNQ2,INDRA
INDRA-58,CALM2,KCNQ3,INDRA
INDRA-59,CALM2,KCNQ5,INDRA
INDRA-60,CALM3,CACNA1A,INDRA
INDRA-61,CALM3,KCNQ2,INDRA
INDRA-62,CALM3,KCNQ3,INDRA
INDRA-63,CALM3,KCNQ5,INDRA
INDRA-64,CALR,CACNA1D,INDRA
INDRA-65,CALR,KCNH2,INDRA
INDRA-66,CCL5,MIP,INDRA
INDRA-67,CD59,CFTR,INDRA
INDRA-68,CDH1,AQP3,INDRA
INDRA-69,CDH1,CFTR,INDRA
INDRA-70,CDH1,CLIC1,INDRA
INDRA-71,CDH1,GRIA1,INDRA
INDRA-72,CDH1,KCNN4,INDRA
INDRA-73,CDH1,TRPV4,INDRA
INDRA-74,CNTN1,SCN1B,INDRA
INDRA-75,CNTN1,SCNN1B,INDRA
INDRA-76,DEFB4A,KCNA3,INDRA
INDRA-77,DKK1,TRPV4,INDRA
INDRA-78,DLK1,ANO6,INDRA
INDRA-79,DLK2,LRRC8A,INDRA
INDRA-80,DLK2,LRRC8E,INDRA
INDRA-81,EDA,CHRNA3,INDRA
INDRA-82,EDA,CHRND,INDRA
INDRA-83,EDA,GABRA3,INDRA
INDRA-84,EDA,ZACN,INDRA
INDRA-85,EDN1,TRPV1,INDRA
INDRA-86,EFNB3,P2RX7,INDRA
INDRA-87,EGF,TRPM6,INDRA
INDRA-88,EPO,AQP4,INDRA
INDRA-89,FASLG,CACNB3,INDRA
INDRA-90,FASLG,CACNB4,INDRA
INDRA-91,FGF13,SCN10A,INDRA
INDRA-92,FGF13,SCN11A,INDRA
INDRA-93,FGF13,SCN1A,INDRA
INDRA-94,FGF13,SCN2A,INDRA
INDRA-95,FGF13,SCN3A,INDRA
INDRA-96,FGF13,SCN4A,INDRA
INDRA-97,FGF13,SCN5A,INDRA
INDRA-98,FGF13,SCN8A,INDRA
INDRA-99,FGF13,SCN9A,INDRA
INDRA-100,FN1,CLIC1,INDRA
INDRA-101,FN1,CLIC2,INDRA
INDRA-102,FN1,CLIC5,INDRA
INDRA-103,FN1,VDAC2,INDRA
INDRA-104,GCG,TRPV1,INDRA
INDRA-105,GNAI2,CFTR,INDRA
INDRA-106,GRN,CACNA1A,INDRA
INDRA-107,GRN,CACNG5,INDRA
INDRA-108,GRN,CFTR,INDRA
INDRA-109,HLA-A,GABRE,INDRA
INDRA-110,HLA-A,ZACN,INDRA
INDRA-111,HLA-B,ASIC4,INDRA
INDRA-112,HLA-C,ASIC4,INDRA
INDRA-113,HLA-C,GABRA3,INDRA
INDRA-114,HLA-E,KCNJ8,INDRA
INDRA-115,HLA-F,GRIA3,INDRA
