id_cp_interactions,partner_a,partner_b,source
INDRA-0,P01023,P13569,INDRA
INDRA-1,O00468,P55087,INDRA
INDRA-2,O00468,O00555,INDRA
INDRA-3,P01019,P29972,INDRA
INDRA-4,P01019,Q9HBA0,INDRA
INDRA-5,P20292,O00299,INDRA
INDRA-6,P04083,P13569,INDRA
INDRA-7,P04083,Q96QT4,INDRA
INDRA-8,P02649,P55087,INDRA
INDRA-9,P02649,P43681,INDRA
INDRA-10,P02649,P21796,INDRA
INDRA-11,P02649,Q9Y277,INDRA
INDRA-12,P05067,P29972,INDRA
INDRA-13,P05067,Q8WZ55,INDRA
INDRA-14,P05067,Q02641,INDRA
INDRA-15,P05067,Q9Y698,INDRA
INDRA-16,P05067,O60359,INDRA
INDRA-17,P05067,O95833,INDRA
INDRA-18,P05067,P48169,INDRA
INDRA-19,P05067,O60741,INDRA
INDRA-20,P05067,P78508,INDRA
INDRA-21,P05067,O95279,INDRA
INDRA-22,P05067,Q9UGI6,INDRA
INDRA-23,P05067,Q7L1W4,INDRA
INDRA-24,P05067,O15547,INDRA
INDRA-25,P05067,Q9Y210,INDRA
INDRA-26,P05067,P21796,INDRA
INDRA-27,P05067,P45880,INDRA
INDRA-28,P84077,P42262,INDRA
INDRA-29,P84077,Q13563,INDRA
INDRA-30,P84077,P21796,INDRA
INDRA-31,P62330,O00180,INDRA
INDRA-32,Q5T4W7,O75762,INDRA
INDRA-33,P46379,O00299,INDRA
INDRA-34,P23560,Q15413,INDRA
INDRA-35,P0DP23,Q13936,INDRA
INDRA-36,P0DP23,Q16280,INDRA
INDRA-37,P0DP23,Q05586,INDRA
INDRA-38,P0DP23,Q14643,INDRA
INDRA-39,P0DP23,Q14721,INDRA
INDRA-40,P0DP23,O95259,INDRA
INDRA-41,P0DP23,Q9H2S1,INDRA
INDRA-42,P0DP23,Q9UGI6,INDRA
INDRA-43,P0DP23,O15554,INDRA
INDRA-44,P0DP23,O43526,INDRA
INDRA-45,P0DP23,O43525,INDRA
INDRA-46,P0DP23,Q9NR82,INDRA
INDRA-47,P0DP23,P30301,INDRA
INDRA-48,P0DP23,P21817,INDRA
INDRA-49,P0DP23,P35499,INDRA
INDRA-50,P0DP23,Q14524,INDRA
INDRA-51,P0DP23,Q9UQD0,INDRA
INDRA-52,P0DP23,Q13507,INDRA
INDRA-53,P0DP23,Q8NER1,INDRA
INDRA-54,P0DP23,Q9HBA0,INDRA
INDRA-55,P0DP23,Q9H1D0,INDRA
