id_cp_interaction,partner_a,partner_b,source
INDRA-0,Q9Y219,P46531,INDRA
INDRA-1,Q9Y219,P46531,INDRA
INDRA-2,O00548,P46531,INDRA
INDRA-3,O00548,P46531,INDRA
INDRA-4,P05019,P08069,INDRA
INDRA-5,P05019,P08069,INDRA
INDRA-6,P78504,P46531,INDRA
INDRA-7,P78504,P46531,INDRA
INDRA-8,P41221,Q14332,INDRA
INDRA-9,P41221,Q14332,INDRA
INDRA-10,Q9GZX6,Q08334,INDRA
INDRA-11,Q9GZX6,Q08334,INDRA
INDRA-12,P01588,P19235,INDRA
INDRA-13,P01588,P19235,INDRA
INDRA-14,Q9H2A7,O00574,INDRA
INDRA-15,Q9H2A7,O00574,INDRA
INDRA-16,P50591,O14798,INDRA
INDRA-17,P50591,O14798,INDRA
INDRA-18,P22301,Q13651,INDRA
INDRA-19,P22301,Q13651,INDRA
INDRA-20,P01579,P15260,INDRA
INDRA-21,P01579,P15260,INDRA
INDRA-22,P01344,P11717,INDRA
INDRA-23,P01344,P11717,INDRA
INDRA-24,P49771,P36888,INDRA
INDRA-25,P49771,P36888,INDRA
INDRA-26,P21583,P10721,INDRA
INDRA-27,P21583,P10721,INDRA
INDRA-28,P01344,P08069,INDRA
INDRA-29,P01344,P08069,INDRA
INDRA-30,Q07325,P49682,INDRA
INDRA-31,Q07325,P49682,INDRA
INDRA-32,P13501,P51681,INDRA
INDRA-33,P13501,P51681,INDRA
INDRA-34,P80075,P51681,INDRA
INDRA-35,P80075,P51681,INDRA
INDRA-36,P13236,P51681,INDRA
INDRA-37,P13236,P51681,INDRA
INDRA-38,P05231,P40189,INDRA
INDRA-39,P05231,P40189,INDRA
INDRA-40,P01133,P00533,INDRA
INDRA-41,P01133,P00533,INDRA
INDRA-42,O94907,O75581,INDRA
INDRA-43,O94907,O75581,INDRA
INDRA-44,O94907,O75197,INDRA
INDRA-45,O94907,O75197,INDRA
INDRA-46,P41221,Q13467,INDRA
INDRA-47,P41221,Q13467,INDRA
INDRA-48,P04899,P48039,INDRA
INDRA-49,O43557,P36941,INDRA
INDRA-50,O43557,P36941,INDRA
INDRA-51,P29965,P25942,INDRA
INDRA-52,P29965,P25942,INDRA
INDRA-53,P01374,P19438,INDRA
INDRA-54,P01374,P19438,INDRA
INDRA-55,Q06643,P36941,INDRA
INDRA-56,Q06643,P36941,INDRA
INDRA-57,Q02297,P04626,INDRA
INDRA-58,Q02297,P04626,INDRA
INDRA-59,P01138,P04629,INDRA
INDRA-60,P01138,P04629,INDRA
INDRA-61,P05112,P24394,INDRA
INDRA-62,P05112,P24394,INDRA
INDRA-63,Q96H15,Q96D42,INDRA
INDRA-64,Q96H15,Q96D42,INDRA
INDRA-65,P01135,P00533,INDRA
INDRA-66,P01135,P00533,INDRA
INDRA-67,P02778,P49682,INDRA
INDRA-68,P02778,P49682,INDRA
INDRA-69,P09603,P07333,INDRA
INDRA-70,P09603,P07333,INDRA
INDRA-71,P09919,Q99062,INDRA
INDRA-72,P09919,Q99062,INDRA
INDRA-73,P04141,P15509,INDRA
INDRA-74,P04141,P15509,INDRA
INDRA-75,P14210,P08581,INDRA
INDRA-76,P14210,P08581,INDRA
INDRA-77,P01375,P20333,INDRA
INDRA-78,P01375,P20333,INDRA
INDRA-79,P01308,P06213,INDRA
INDRA-80,P01308,P06213,INDRA
INDRA-81,P41273,Q07011,INDRA
INDRA-82,P41273,Q07011,INDRA
INDRA-83,P32970,P26842,INDRA
INDRA-84,P32970,P26842,INDRA
INDRA-85,P48023,P25445,INDRA
INDRA-86,P48023,P25445,INDRA
INDRA-87,P50591,Q9UBN6,INDRA
INDRA-88,P50591,Q9UBN6,INDRA
INDRA-89,P50591,O14763,INDRA
INDRA-90,P50591,O14763,INDRA
INDRA-91,P50591,O00220,INDRA
INDRA-92,P50591,O00220,INDRA
INDRA-93,P01375,P19438,INDRA
INDRA-94,P01375,P19438,INDRA
INDRA-95,Q15465,Q13635,INDRA
INDRA-96,Q15465,Q13635,INDRA
INDRA-97,P01148,P30968,INDRA
INDRA-98,P01148,P30968,INDRA
INDRA-99,P41221,Q01974,INDRA
INDRA-100,P41221,Q01974,INDRA
INDRA-101,O14625,P49682,INDRA
INDRA-102,O14625,P49682,INDRA
INDRA-103,P33681,P10747,INDRA
INDRA-104,P33681,P10747,INDRA
INDRA-105,P42081,P10747,INDRA
INDRA-106,P42081,P10747,INDRA
INDRA-107,P01584,P27930,INDRA
INDRA-108,P01584,P27930,INDRA
INDRA-109,P01137,P37173,INDRA
INDRA-110,P01137,P37173,INDRA
INDRA-111,P01137,Q03167,INDRA
INDRA-112,P01137,Q03167,INDRA
INDRA-113,P01137,P36897,INDRA
INDRA-114,P01137,P36897,INDRA
INDRA-115,P15018,P42702,INDRA
INDRA-116,P15018,P42702,INDRA
INDRA-117,P60568,P31785,INDRA
INDRA-118,P60568,P31785,INDRA
INDRA-119,P35225,P78552,INDRA
INDRA-120,P35225,P78552,INDRA
INDRA-121,P35225,Q14627,INDRA
INDRA-122,P35225,Q14627,INDRA
INDRA-123,P10600,P37173,INDRA
INDRA-124,P10600,P37173,INDRA
INDRA-125,P12643,Q13873,INDRA
INDRA-126,P12643,Q13873,INDRA
INDRA-127,P43026,Q13873,INDRA
INDRA-128,P43026,Q13873,INDRA
INDRA-129,Q00604,Q9ULV1,INDRA
INDRA-130,Q00604,Q9ULV1,INDRA
INDRA-131,P01236,P16471,INDRA
INDRA-132,P01236,P16471,INDRA
INDRA-133,P01241,P16471,INDRA
INDRA-134,P01241,P16471,INDRA
INDRA-135,P01241,P10912,INDRA
INDRA-136,P01241,P10912,INDRA
INDRA-137,P01579,P38484,INDRA
INDRA-138,P01579,P38484,INDRA
INDRA-139,Q969D9,Q9HC73,INDRA
INDRA-140,Q969D9,Q9HC73,INDRA
INDRA-141,P08700,P26951,INDRA
INDRA-142,P08700,P26951,INDRA
INDRA-143,P01308,P08069,INDRA
INDRA-144,P01308,P08069,INDRA
INDRA-145,P29459,P42701,INDRA
INDRA-146,P29459,P42701,INDRA
INDRA-147,P01574,P17181,INDRA
INDRA-148,P01574,P17181,INDRA
INDRA-149,P01574,P48551,INDRA
INDRA-150,P01574,P48551,INDRA
INDRA-151,P40933,Q13261,INDRA
INDRA-152,P40933,Q13261,INDRA
INDRA-153,P56975,Q15303,INDRA
INDRA-154,P56975,Q15303,INDRA
INDRA-155,Q02297,Q15303,INDRA
INDRA-156,Q02297,Q15303,INDRA
INDRA-157,Q15465,Q9Y6C5,INDRA
INDRA-158,Q15465,Q9Y6C5,INDRA
INDRA-159,Q14623,Q9Y6C5,INDRA
INDRA-160,Q14623,Q9Y6C5,INDRA
INDRA-161,Q15465,Q96QV1,INDRA
INDRA-162,Q15465,Q96QV1,INDRA
INDRA-163,P15514,P00533,INDRA
INDRA-164,P15514,P00533,INDRA
INDRA-165,Q99075,P00533,INDRA
INDRA-166,Q99075,P00533,INDRA
INDRA-167,Q8WWG1,Q15303,INDRA
INDRA-168,Q8WWG1,Q15303,INDRA
INDRA-169,Q9NR61,Q99466,INDRA
INDRA-170,Q9NR61,Q99466,INDRA
INDRA-171,P78504,Q04721,INDRA
INDRA-172,P78504,Q04721,INDRA
INDRA-173,Q9Y219,Q04721,INDRA
INDRA-174,Q9Y219,Q04721,INDRA
INDRA-175,Q9Y219,Q9UM47,INDRA
INDRA-176,Q9Y219,Q9UM47,INDRA
INDRA-177,Q9NYJ7,P46531,INDRA
INDRA-178,Q9NYJ7,P46531,INDRA
INDRA-179,P41221,Q9ULV1,INDRA
INDRA-180,P41221,Q9ULV1,INDRA
INDRA-181,P04628,O75581,INDRA
INDRA-182,P04628,O75581,INDRA
INDRA-183,Q9NPF7,P42701,INDRA
