id_cp_interaction,partner_a,partner_b,source
INDRA-0,JAG2,NOTCH1,INDRA
INDRA-1,JAG2,NOTCH1,INDRA
INDRA-2,DLL1,NOTCH1,INDRA
INDRA-3,DLL1,NOTCH1,INDRA
INDRA-4,IGF1,IGF1R,INDRA
INDRA-5,IGF1,IGF1R,INDRA
INDRA-6,JAG1,NOTCH1,INDRA
INDRA-7,JAG1,NOTCH1,INDRA
INDRA-8,WNT5A,FZD2,INDRA
INDRA-9,WNT5A,FZD2,INDRA
INDRA-10,IL22,IL10RB,INDRA
INDRA-11,IL22,IL10RB,INDRA
INDRA-12,EPO,EPOR,INDRA
INDRA-13,EPO,EPOR,INDRA
INDRA-14,CXCL16,CXCR6,INDRA
INDRA-15,CXCL16,CXCR6,INDRA
INDRA-16,TNFSF10,TNFRSF10C,INDRA
INDRA-17,TNFSF10,TNFRSF10C,INDRA
INDRA-18,IL10,IL10RA,INDRA
INDRA-19,IL10,IL10RA,INDRA
INDRA-20,IFNG,IFNGR1,INDRA
INDRA-21,IFNG,IFNGR1,INDRA
INDRA-22,IGF2,IGF2R,INDRA
INDRA-23,IGF2,IGF2R,INDRA
INDRA-24,FLT3LG,FLT3,INDRA
INDRA-25,FLT3LG,FLT3,INDRA
INDRA-26,KITLG,KIT,INDRA
INDRA-27,KITLG,KIT,INDRA
INDRA-28,IGF2,IGF1R,INDRA
INDRA-29,IGF2,IGF1R,INDRA
INDRA-30,CXCL9,CXCR3,INDRA
INDRA-31,CXCL9,CXCR3,INDRA
INDRA-32,CCL5,CCR5,INDRA
INDRA-33,CCL5,CCR5,INDRA
INDRA-34,CCL8,CCR5,INDRA
INDRA-35,CCL8,CCR5,INDRA
INDRA-36,CCL4,CCR5,INDRA
INDRA-37,CCL4,CCR5,INDRA
INDRA-38,IL6,IL6ST,INDRA
INDRA-39,IL6,IL6ST,INDRA
INDRA-40,EGF,EGFR,INDRA
INDRA-41,EGF,EGFR,INDRA
INDRA-42,DKK1,LRP6,INDRA
INDRA-43,DKK1,LRP6,INDRA
INDRA-44,DKK1,LRP5,INDRA
INDRA-45,DKK1,LRP5,INDRA
INDRA-46,WNT5A,FZD5,INDRA
INDRA-47,WNT5A,FZD5,INDRA
INDRA-48,GNAI2,MTNR1A,INDRA
INDRA-49,TNFSF14,LTBR,INDRA
INDRA-50,TNFSF14,LTBR,INDRA
INDRA-51,CD40LG,CD40,INDRA
INDRA-52,CD40LG,CD40,INDRA
INDRA-53,LTA,TNFRSF1A,INDRA
INDRA-54,LTA,TNFRSF1A,INDRA
INDRA-55,LTB,LTBR,INDRA
INDRA-56,LTB,LTBR,INDRA
INDRA-57,NRG1,ERBB2,INDRA
INDRA-58,NRG1,ERBB2,INDRA
INDRA-59,NGF,NTRK1,INDRA
INDRA-60,NGF,NTRK1,INDRA
INDRA-61,IL4,IL4R,INDRA
INDRA-62,IL4,IL4R,INDRA
INDRA-63,TIMD4,HAVCR1,INDRA
INDRA-64,TIMD4,HAVCR1,INDRA
INDRA-65,TGFA,EGFR,INDRA
INDRA-66,TGFA,EGFR,INDRA
INDRA-67,CXCL10,CXCR3,INDRA
INDRA-68,CXCL10,CXCR3,INDRA
INDRA-69,CSF1,CSF1R,INDRA
INDRA-70,CSF1,CSF1R,INDRA
INDRA-71,CSF3,CSF3R,INDRA
INDRA-72,CSF3,CSF3R,INDRA
INDRA-73,CSF2,CSF2RA,INDRA
INDRA-74,CSF2,CSF2RA,INDRA
INDRA-75,HGF,MET,INDRA
INDRA-76,HGF,MET,INDRA
INDRA-77,TNF,TNFRSF1B,INDRA
INDRA-78,TNF,TNFRSF1B,INDRA
INDRA-79,INS,INSR,INDRA
INDRA-80,INS,INSR,INDRA
INDRA-81,TNFSF9,TNFRSF9,INDRA
INDRA-82,TNFSF9,TNFRSF9,INDRA
INDRA-83,CD70,CD27,INDRA
INDRA-84,CD70,CD27,INDRA
INDRA-85,FASLG,FAS,INDRA
INDRA-86,FASLG,FAS,INDRA
INDRA-87,TNFSF10,TNFRSF10D,INDRA
