id_cp_interactions,partner_a,partner_b,source
INDRA-0,Q9Y219,P46531,INDRA
INDRA-1,O00548,P46531,INDRA
INDRA-2,P05019,P08069,INDRA
INDRA-3,P78504,P46531,INDRA
INDRA-4,P41221,Q14332,INDRA
INDRA-5,Q9GZX6,Q08334,INDRA
INDRA-6,P01588,P19235,INDRA
INDRA-7,Q9H2A7,O00574,INDRA
INDRA-8,P50591,O14798,INDRA
INDRA-9,P22301,Q13651,INDRA
INDRA-10,P01579,P15260,INDRA
INDRA-11,P01344,P11717,INDRA
INDRA-12,P49771,P36888,INDRA
INDRA-13,P21583,P10721,INDRA
INDRA-14,P01344,P08069,INDRA
INDRA-15,Q07325,P49682,INDRA
INDRA-16,P13501,P51681,INDRA
INDRA-17,P80075,P51681,INDRA
INDRA-18,P13236,P51681,INDRA
INDRA-19,P05231,P40189,INDRA
INDRA-20,P01133,P00533,INDRA
INDRA-21,O94907,O75581,INDRA
INDRA-22,O94907,O75197,INDRA
INDRA-23,P41221,Q13467,INDRA
INDRA-24,P04899,P48039,INDRA
INDRA-25,O43557,P36941,INDRA
INDRA-26,P29965,P25942,INDRA
INDRA-27,P01374,P19438,INDRA
INDRA-28,Q06643,P36941,INDRA
INDRA-29,Q02297,P04626,INDRA
INDRA-30,P01138,P04629,INDRA
INDRA-31,P05112,P24394,INDRA
INDRA-32,Q96H15,Q96D42,INDRA
INDRA-33,P01135,P00533,INDRA
INDRA-34,P02778,P49682,INDRA
INDRA-35,P09603,P07333,INDRA
INDRA-36,P09919,Q99062,INDRA
INDRA-37,P04141,P15509,INDRA
INDRA-38,P14210,P08581,INDRA
INDRA-39,P01375,P20333,INDRA
INDRA-40,P01308,P06213,INDRA
INDRA-41,P41273,Q07011,INDRA
INDRA-42,P32970,P26842,INDRA
INDRA-43,P48023,P25445,INDRA
INDRA-44,P50591,Q9UBN6,INDRA
INDRA-45,P50591,O14763,INDRA
INDRA-46,P50591,O00220,INDRA
INDRA-47,P01375,P19438,INDRA
INDRA-48,Q15465,Q13635,INDRA
INDRA-49,P01148,P30968,INDRA
INDRA-50,P41221,Q01974,INDRA
INDRA-51,O14625,P49682,INDRA
INDRA-52,P33681,P10747,INDRA
INDRA-53,P42081,P10747,INDRA
INDRA-54,P01584,P27930,INDRA
INDRA-55,P01137,P37173,INDRA
INDRA-56,P01137,Q03167,INDRA
INDRA-57,P01137,P36897,INDRA
INDRA-58,P15018,P42702,INDRA
INDRA-59,P60568,P31785,INDRA
INDRA-60,P35225,P78552,INDRA
INDRA-61,P35225,Q14627,INDRA
INDRA-62,P10600,P37173,INDRA
INDRA-63,P12643,Q13873,INDRA
INDRA-64,P43026,Q13873,INDRA
INDRA-65,Q00604,Q9ULV1,INDRA
INDRA-66,P01236,P16471,INDRA
INDRA-67,P01241,P16471,INDRA
INDRA-68,P01241,P10912,INDRA
INDRA-69,P01579,P38484,INDRA
INDRA-70,Q969D9,Q9HC73,INDRA
INDRA-71,P08700,P26951,INDRA
INDRA-72,P01308,P08069,INDRA
INDRA-73,P29459,P42701,INDRA
INDRA-74,P01574,P17181,INDRA
INDRA-75,P01574,P48551,INDRA
INDRA-76,P40933,Q13261,INDRA
INDRA-77,P56975,Q15303,INDRA
INDRA-78,Q02297,Q15303,INDRA
INDRA-79,Q15465,Q9Y6C5,INDRA
INDRA-80,Q14623,Q9Y6C5,INDRA
INDRA-81,Q15465,Q96QV1,INDRA
INDRA-82,P15514,P00533,INDRA
INDRA-83,Q99075,P00533,INDRA
INDRA-84,Q8WWG1,Q15303,INDRA
INDRA-85,Q9NR61,Q99466,INDRA
INDRA-86,P78504,Q04721,INDRA
INDRA-87,Q9Y219,Q04721,INDRA
INDRA-88,Q9Y219,Q9UM47,INDRA
INDRA-89,Q9NYJ7,P46531,INDRA
INDRA-90,P41221,Q9ULV1,INDRA
INDRA-91,P04628,O75581,INDRA
INDRA-92,Q9NPF7,P42701,INDRA
INDRA-93,P05231,P08887,INDRA
INDRA-94,Q9NR61,P46531,INDRA
INDRA-95,Q15465,P98164,INDRA
INDRA-96,Q9NPF7,Q5VWK5,INDRA
INDRA-97,P49768,Q92542,INDRA
INDRA-98,Q6EBC2,Q99650,INDRA
INDRA-99,P13725,Q99650,INDRA
INDRA-100,Q9HBE4,Q9HBE5,INDRA
INDRA-101,P03971,Q16671,INDRA
INDRA-102,P61812,P37173,INDRA
INDRA-103,P08476,Q13705,INDRA
INDRA-104,P18075,Q13705,INDRA
INDRA-105,P22004,Q13705,INDRA
INDRA-106,P12643,Q13705,INDRA
INDRA-107,P18075,Q13873,INDRA
INDRA-108,P22004,Q13873,INDRA
INDRA-109,Q6KF10,Q13873,INDRA
INDRA-110,P12644,Q13873,INDRA
INDRA-111,Q15465,Q9BWV1,INDRA
