id_cp_interactions,partner_a,partner_b,source
INDRA-0,JAG2,NOTCH1,INDRA
INDRA-1,DLL1,NOTCH1,INDRA
INDRA-2,IGF1,IGF1R,INDRA
INDRA-3,JAG1,NOTCH1,INDRA
INDRA-4,WNT5A,FZD2,INDRA
INDRA-5,IL22,IL10RB,INDRA
INDRA-6,EPO,EPOR,INDRA
INDRA-7,CXCL16,CXCR6,INDRA
INDRA-8,TNFSF10,TNFRSF10C,INDRA
INDRA-9,IL10,IL10RA,INDRA
INDRA-10,IFNG,IFNGR1,INDRA
INDRA-11,IGF2,IGF2R,INDRA
INDRA-12,FLT3LG,FLT3,INDRA
INDRA-13,KITLG,KIT,INDRA
INDRA-14,IGF2,IGF1R,INDRA
INDRA-15,CXCL9,CXCR3,INDRA
INDRA-16,CCL5,CCR5,INDRA
INDRA-17,CCL8,CCR5,INDRA
INDRA-18,CCL4,CCR5,INDRA
INDRA-19,IL6,IL6ST,INDRA
INDRA-20,EGF,EGFR,INDRA
INDRA-21,DKK1,LRP6,INDRA
INDRA-22,DKK1,LRP5,INDRA
INDRA-23,WNT5A,FZD5,INDRA
INDRA-24,GNAI2,MTNR1A,INDRA
INDRA-25,TNFSF14,LTBR,INDRA
INDRA-26,CD40LG,CD40,INDRA
INDRA-27,LTA,TNFRSF1A,INDRA
INDRA-28,LTB,LTBR,INDRA
INDRA-29,NRG1,ERBB2,INDRA
INDRA-30,NGF,NTRK1,INDRA
INDRA-31,IL4,IL4R,INDRA
INDRA-32,TIMD4,HAVCR1,INDRA
INDRA-33,TGFA,EGFR,INDRA
INDRA-34,CXCL10,CXCR3,INDRA
INDRA-35,CSF1,CSF1R,INDRA
INDRA-36,CSF3,CSF3R,INDRA
INDRA-37,CSF2,CSF2RA,INDRA
INDRA-38,HGF,MET,INDRA
INDRA-39,TNF,TNFRSF1B,INDRA
INDRA-40,INS,INSR,INDRA
INDRA-41,TNFSF9,TNFRSF9,INDRA
INDRA-42,CD70,CD27,INDRA
INDRA-43,FASLG,FAS,INDRA
INDRA-44,TNFSF10,TNFRSF10D,INDRA
INDRA-45,TNFSF10,TNFRSF10B,INDRA
INDRA-46,TNFSF10,TNFRSF10A,INDRA
INDRA-47,TNF,TNFRSF1A,INDRA
INDRA-48,SHH,PTCH1,INDRA
INDRA-49,GNRH1,GNRHR,INDRA
INDRA-50,WNT5A,ROR2,INDRA
INDRA-51,CXCL11,CXCR3,INDRA
INDRA-52,CD80,CD28,INDRA
INDRA-53,CD86,CD28,INDRA
INDRA-54,IL1B,IL1R2,INDRA
INDRA-55,TGFB1,TGFBR2,INDRA
INDRA-56,TGFB1,TGFBR3,INDRA
INDRA-57,TGFB1,TGFBR1,INDRA
INDRA-58,LIF,LIFR,INDRA
INDRA-59,IL2,IL2RG,INDRA
INDRA-60,IL13,IL13RA1,INDRA
INDRA-61,IL13,IL13RA2,INDRA
INDRA-62,TGFB3,TGFBR2,INDRA
INDRA-63,BMP2,BMPR2,INDRA
INDRA-64,GDF5,BMPR2,INDRA
INDRA-65,NDP,FZD4,INDRA
INDRA-66,PRL,PRLR,INDRA
INDRA-67,GH1,PRLR,INDRA
INDRA-68,GH1,GHR,INDRA
INDRA-69,IFNG,IFNGR2,INDRA
INDRA-70,TSLP,CRLF2,INDRA
INDRA-71,IL3,IL3RA,INDRA
INDRA-72,INS,IGF1R,INDRA
INDRA-73,IL12A,IL12RB1,INDRA
INDRA-74,IFNB1,IFNAR1,INDRA
INDRA-75,IFNB1,IFNAR2,INDRA
INDRA-76,IL15,IL15RA,INDRA
INDRA-77,NRG3,ERBB4,INDRA
INDRA-78,NRG1,ERBB4,INDRA
INDRA-79,SHH,PTCH2,INDRA
INDRA-80,IHH,PTCH2,INDRA
INDRA-81,SHH,HHIP,INDRA
INDRA-82,AREG,EGFR,INDRA
INDRA-83,HBEGF,EGFR,INDRA
INDRA-84,NRG4,ERBB4,INDRA
INDRA-85,DLL4,NOTCH4,INDRA
INDRA-86,JAG1,NOTCH2,INDRA
INDRA-87,JAG2,NOTCH2,INDRA
INDRA-88,JAG2,NOTCH3,INDRA
INDRA-89,DLL3,NOTCH1,INDRA
INDRA-90,WNT5A,FZD4,INDRA
INDRA-91,WNT1,LRP6,INDRA
INDRA-92,IL23A,IL12RB1,INDRA
INDRA-93,IL6,IL6R,INDRA
INDRA-94,DLL4,NOTCH1,INDRA
INDRA-95,SHH,LRP2,INDRA
INDRA-96,IL23A,IL23R,INDRA
INDRA-97,PSEN1,NCSTN,INDRA
INDRA-98,IL31,OSMR,INDRA
INDRA-99,OSM,OSMR,INDRA
INDRA-100,IL21,IL21R,INDRA
INDRA-101,AMH,AMHR2,INDRA
INDRA-102,TGFB2,TGFBR2,INDRA
INDRA-103,INHBA,ACVR2B,INDRA
INDRA-104,BMP7,ACVR2B,INDRA
INDRA-105,BMP6,ACVR2B,INDRA
INDRA-106,BMP2,ACVR2B,INDRA
INDRA-107,BMP7,BMPR2,INDRA
INDRA-108,BMP6,BMPR2,INDRA
INDRA-109,GDF6,BMPR2,INDRA
INDRA-110,BMP4,BMPR2,INDRA
INDRA-111,SHH,BOC,INDRA
INDRA-112,IL20,IL22RA1,INDRA
INDRA-113,IL24,IL22RA1,INDRA
INDRA-114,IL26,IL20RA,INDRA
INDRA-115,IL19,IL20RA,INDRA
INDRA-116,IL20,IL20RA,INDRA
INDRA-117,IL24,IL20RA,INDRA
INDRA-118,IL27,IL27RA,INDRA
INDRA-119,MFAP5,NOTCH1,INDRA
INDRA-120,CTF1,IL6ST,INDRA
INDRA-121,MTMR4,SMAD3,INDRA
INDRA-122,IHH,PTCH1,INDRA
INDRA-123,PDGFC,PDGFRA,INDRA
INDRA-124,PDGFC,PDGFRB,INDRA
INDRA-125,PDGFA,PDGFRA,INDRA
INDRA-126,PDGFB,PDGFRA,INDRA
INDRA-127,FGF1,FGFR1,INDRA
INDRA-128,FGF1,FGFR2,INDRA
INDRA-129,FGF2,FGFR2,INDRA
INDRA-130,FGF3,FGFR2,INDRA
INDRA-131,FGF4,FGFR2,INDRA
INDRA-132,FGF7,FGFR2,INDRA
INDRA-133,FGF8,FGFR2,INDRA
INDRA-134,FGF10,FGFR2,INDRA
INDRA-135,VEGFB,FLT1,INDRA
INDRA-136,EFNA1,EPHA1,INDRA
INDRA-137,EFNA2,EPHA2,INDRA
INDRA-138,EFNA5,EPHA5,INDRA
INDRA-139,EFNB3,EPHB3,INDRA
INDRA-140,EFNA1,EPHA6,INDRA
INDRA-141,EFNA2,EPHA6,INDRA
INDRA-142,EFNA3,EPHA6,INDRA
INDRA-143,EFNA4,EPHA6,INDRA
INDRA-144,EFNA5,EPHA6,INDRA
INDRA-145,EFNA5,EPHA7,INDRA
INDRA-146,EFNA1,EPHA8,INDRA
INDRA-147,EFNA1,EPHA4,INDRA
INDRA-148,EFNA5,EPHA4,INDRA
INDRA-149,EFNA1,EPHA2,INDRA
INDRA-150,EFNA1,EPHA3,INDRA
INDRA-151,EFNA5,EPHA3,INDRA
INDRA-152,EFNA1,EPHA5,INDRA
INDRA-153,EFNB2,EPHB4,INDRA
INDRA-154,ANGPT2,TEK,INDRA
INDRA-155,ANGPT1,TEK,INDRA
INDRA-156,ANGPT4,TEK,INDRA
INDRA-157,AGRN,MUSK,INDRA
INDRA-158,WNT3A,RYK,INDRA
INDRA-159,GAS6,AXL,INDRA
INDRA-160,GAS6,MERTK,INDRA
INDRA-161,GDNF,RET,INDRA
INDRA-162,IL26,IL10RB,INDRA
INDRA-163,IL5,IL5RA,INDRA
INDRA-164,DLL1,NOTCH2,INDRA
INDRA-165,THPO,MPL,INDRA
INDRA-166,CNTF,CNTFR,INDRA
INDRA-167,IL7,IL7R,INDRA
INDRA-168,NRG2,ERBB3,INDRA
INDRA-169,NRG2,ERBB4,INDRA
INDRA-170,LEP,LEPR,INDRA
INDRA-171,NRG1,ERBB3,INDRA
INDRA-172,DHH,PTCH2,INDRA
INDRA-173,DHH,HHIP,INDRA
INDRA-174,IHH,HHIP,INDRA
INDRA-175,WNT8A,FZD8,INDRA
INDRA-176,BTC,EGFR,INDRA
INDRA-177,BTC,ERBB4,INDRA
INDRA-178,HBEGF,ERBB4,INDRA
INDRA-179,BMP8B,BMPR1A,INDRA
INDRA-180,BMP8B,ACVR1,INDRA
INDRA-181,CSF3,CSF2RA,INDRA
INDRA-182,IL9,IL9R,INDRA
INDRA-183,EGF,ERBB2,INDRA
INDRA-184,DLL3,NOTCH2,INDRA
INDRA-185,DKK1,KREMEN2,INDRA
INDRA-186,DKK1,KREMEN1,INDRA
INDRA-187,WNT2,FZD9,INDRA
INDRA-188,IL11,IL11RA,INDRA
INDRA-189,WNT7A,FZD5,INDRA
INDRA-190,IL31,IL31RA,INDRA
INDRA-191,GDF11,ACVR2B,INDRA
INDRA-192,NODAL,ACVR2B,INDRA
INDRA-193,GDF5,ACVR2B,INDRA
INDRA-194,BMP15,BMPR2,INDRA
INDRA-195,CSF2,CSF3R,INDRA
INDRA-196,IFNK,IFNAR1,INDRA
INDRA-197,IFNL1,IL10RB,INDRA
INDRA-198,IFNL2,IL10RB,INDRA
INDRA-199,IFNL3,IL10RB,INDRA
INDRA-200,IL10,IL10RB,INDRA
INDRA-201,IFNK,IFNAR2,INDRA
INDRA-202,IFNL1,IFNLR1,INDRA
INDRA-203,IFNL2,IFNLR1,INDRA
INDRA-204,IFNL3,IFNLR1,INDRA
INDRA-205,IL19,IL20RB,INDRA
INDRA-206,IL20,IL20RB,INDRA
INDRA-207,IL24,IL20RB,INDRA
INDRA-208,IL22,IL22RA2,INDRA
INDRA-209,MDK,NOTCH2,INDRA
INDRA-210,CNTN1,NOTCH1,INDRA
INDRA-211,CCN3,NOTCH1,INDRA
INDRA-212,MFAP2,NOTCH1,INDRA
INDRA-213,CTF1,LIFR,INDRA
INDRA-214,TGFB1,ITGB8,INDRA
INDRA-215,TGFB1,ITGB6,INDRA
INDRA-216,DHH,PTCH1,INDRA
INDRA-217,PDGFD,PDGFRB,INDRA
INDRA-218,FGF6,FGFR2,INDRA
INDRA-219,FGF17,FGFR2,INDRA
INDRA-220,FGF18,FGFR2,INDRA
INDRA-221,FGF22,FGFR2,INDRA
INDRA-222,FGF9,FGFR3,INDRA
INDRA-223,MST1,MST1R,INDRA
INDRA-224,BDNF,NTRK2,INDRA
INDRA-225,NTF3,NTRK3,INDRA
INDRA-226,EFNA3,EPHA3,INDRA
INDRA-227,EFNA4,EPHA4,INDRA
INDRA-228,EFNB1,EPHB1,INDRA
INDRA-229,EFNB2,EPHB2,INDRA
INDRA-230,EFNA1,EPHA7,INDRA
INDRA-231,EFNA2,EPHA7,INDRA
INDRA-232,EFNA3,EPHA7,INDRA
INDRA-233,EFNA4,EPHA7,INDRA
INDRA-234,EFNA2,EPHA8,INDRA
INDRA-235,EFNA3,EPHA8,INDRA
INDRA-236,EFNA4,EPHA8,INDRA
INDRA-237,EFNA5,EPHA8,INDRA
INDRA-238,EFNA4,EPHA2,INDRA
INDRA-239,EFNA4,EPHA3,INDRA
INDRA-240,EFNA2,EPHA5,INDRA
INDRA-241,EFNA3,EPHA5,INDRA
INDRA-242,EFNA4,EPHA5,INDRA
INDRA-243,EFNB2,EPHB1,INDRA
INDRA-244,EFNB1,EPHB2,INDRA
INDRA-245,EFNB1,EPHB3,INDRA
INDRA-246,EFNB2,EPHB3,INDRA
INDRA-247,EFNB2,EPHA3,INDRA
INDRA-248,PTN,ALK,INDRA
INDRA-249,MDK,ALK,INDRA
INDRA-250,ANGPT4,TIE1,INDRA
INDRA-251,ANGPTL1,TEK,INDRA
INDRA-252,WNT5A,ROR1,INDRA
INDRA-253,WNT1,RYK,INDRA
INDRA-254,GNAI2,CCR5,INDRA
INDRA-255,CXCL12,ACKR3,INDRA
INDRA-256,CXCL11,ACKR3,INDRA
INDRA-257,CCL19,ACKR4,INDRA
INDRA-258,CCL21,ACKR4,INDRA
INDRA-259,CCL25,ACKR4,INDRA
INDRA-260,INHBA,ACVR2A,INDRA
INDRA-261,INHBA,ACVR1B,INDRA
INDRA-262,INHBA,ACVR1C,INDRA
INDRA-263,INHBB,ACVR2A,INDRA
INDRA-264,INHBB,ACVR1B,INDRA
INDRA-265,INHBB,ACVR2B,INDRA
INDRA-266,INHBB,ACVR1C,INDRA
INDRA-267,INHA,ACVR2A,INDRA
INDRA-268,INHA,ACVR2B,INDRA
INDRA-269,ADM,CALCRL,INDRA
INDRA-270,ADM,RAMP2,INDRA
INDRA-271,ADM2,CALCRL,INDRA
INDRA-272,ADM2,RAMP2,INDRA
INDRA-273,CALCA,CALCRL,INDRA
INDRA-274,CALCA,CALCRL,INDRA
INDRA-275,CALCA,RAMP2,INDRA
INDRA-276,CALCA,RAMP2,INDRA
INDRA-277,CALCB,CALCRL,INDRA
INDRA-278,CALCB,RAMP2,INDRA
INDRA-279,ADM,RAMP3,INDRA
INDRA-280,ADM2,RAMP3,INDRA
INDRA-281,CALCA,RAMP3,INDRA
INDRA-282,CALCA,RAMP3,INDRA
INDRA-283,CALCB,RAMP3,INDRA
INDRA-284,ADM,CALCR,INDRA
INDRA-285,ADM,RAMP1,INDRA
INDRA-286,ADM2,CALCR,INDRA
INDRA-287,ADM2,RAMP1,INDRA
INDRA-288,CALCA,CALCR,INDRA
INDRA-289,CALCA,CALCR,INDRA
INDRA-290,CALCA,RAMP1,INDRA
INDRA-291,CALCA,RAMP1,INDRA
INDRA-292,IAPP,CALCR,INDRA
INDRA-293,IAPP,RAMP1,INDRA
INDRA-294,CALCB,CALCR,INDRA
INDRA-295,CALCB,RAMP1,INDRA
INDRA-296,IAPP,RAMP2,INDRA
INDRA-297,IAPP,RAMP3,INDRA
INDRA-298,AMH,BMPR1B,INDRA
INDRA-299,AMH,ACVR1,INDRA
INDRA-300,APLN,APLNR,INDRA
INDRA-301,APELA,APLNR,INDRA
INDRA-302,AGT,AGTR1,INDRA
INDRA-303,AGT,AGTR2,INDRA
INDRA-304,PROS1,AXL,INDRA
INDRA-305,TNFSF13B,TNFRSF13C,INDRA
INDRA-306,NMB,NMBR,INDRA
INDRA-307,GRP,GRPR,INDRA
INDRA-308,NMB,GRPR,INDRA
